City,Country,Longitude,Latitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
solnechnyy,RU,136.6319,50.7214,10.44,10.44,87,14,2.62
sitka,US,-135.33,57.0531,30.2,30.2,29,20,7.7
chany,RU,76.7647,55.3121,-28.28,-28.28,84,0,6.24
nome,US,-165.4064,64.5011,-7.6,-7.6,49,1,5.75
esperance,AU,121.9,-33.8667,64.4,64.4,59,90,17.27
bosaso,SO,49.1816,11.2842,70.16,70.16,75,38,1.61
flin flon,CA,-101.865,54.7682,-27.08,-27.08,85,93,4.92
honggang,CN,124.8667,46.4667,25.47,25.47,94,100,16.53
provideniya,RU,-173.3,64.3833,-7.6,-7.6,64,0,22.37
karratha,AU,116.8463,-20.7377,93.04,93.04,44,0,10.96
xuanzhou,CN,118.7553,30.9525,52.14,52.14,82,100,12.21
fare,PF,-151.0167,-16.7,80.47,80.47,74,1,20.54
lorengau,PG,147.2712,-2.0226,82.92,82.92,75,100,10.29
landau,DE,8.1133,49.2075,15.17,17.01,89,28,2.71
evanston,US,-87.6901,42.0411,14.56,15.01,52,90,10.36
marystown,CA,-55.1483,47.1666,19.83,19.83,89,66,28.88
novoorsk,RU,58.9813,51.381,8.6,8.6,78,90,11.18
hamilton,US,-84.5333,39.1834,20.93,21.99,86,90,6.91
cochrane,CA,-114.4687,51.1834,-19.25,-18.0,69,75,4.61
tura,IN,90.2201,25.5198,66.45,66.45,45,0,1.39
souillac,MU,57.5167,-20.5167,78.8,78.8,78,40,13.8
touros,BR,-35.4608,-5.1989,80.6,80.6,78,75,9.22
khvorostyanka,RU,48.9597,52.6096,7.75,7.75,95,100,5.68
korla,CN,86.1469,41.7597,34.65,34.65,74,100,7.52
fairbanks,US,-147.7164,64.8378,4.5,6.8,72,1,2.57
punta arenas,CL,-70.9167,-53.15,55.2,55.4,82,75,10.36
mahebourg,MU,57.7,-20.4081,78.8,78.8,78,40,13.8
viedma,AR,-62.9967,-40.8135,66.0,66.0,73,9,19.06
georgetown,MY,100.3354,5.4112,81.18,82.4,78,20,3.44
hobyo,SO,48.5268,5.3505,77.31,77.31,71,100,20.83
saskylakh,RU,114.0833,71.9167,-22.99,-22.99,83,0,6.55
bredasdorp,ZA,20.0403,-34.5322,62.6,62.6,94,1,2.3
paamiut,GL,-49.6678,61.994,20.08,20.08,82,0,6.87
mersing,MY,103.8405,2.4312,80.6,80.6,83,20,8.05
sambava,MG,50.1667,-14.2667,76.69,76.69,84,100,6.2
taltal,CL,-70.4833,-25.4,65.1,65.1,75,0,2.55
dabat,ET,37.765,12.9842,44.76,44.76,60,100,2.21
leningradskiy,RU,178.4167,69.3833,-28.03,-28.03,83,0,6.2
laguna,US,-121.4238,38.421,62.11,66.2,59,1,5.75
ilulissat,GL,-51.1,69.2167,10.4,10.4,67,20,11.5
ballina,AU,153.5667,-28.8667,77.16,78.8,65,75,11.5
soyo,AO,12.3689,-6.1349,80.13,80.13,85,100,1.97
buala,SB,159.5921,-8.145,82.62,82.62,79,100,11.97
bad schwalbach,DE,8.0667,50.1333,21.92,25.0,92,53,1.01
kavieng,PG,150.7967,-2.5744,82.99,82.99,76,84,9.01
christchurch,NZ,172.6333,-43.5333,75.65,75.99,25,0,16.11
redmond,US,-122.1215,47.674,37.49,39.99,84,87,1.48
dingle,PH,122.6711,10.9995,83.12,83.12,74,5,3.38
necochea,AR,-58.7368,-38.5473,62.01,62.01,92,0,4.0
hobbs,US,-103.136,32.7026,28.4,28.4,100,90,12.66
torbay,CA,-52.7314,47.6666,20.46,21.2,68,90,31.07
maues,BR,-57.7186,-3.3836,74.23,74.23,94,100,2.08
bambous virieux,MU,57.7575,-20.3428,78.89,79.0,78,40,13.8
shimoda,JP,138.95,34.6667,53.62,55.4,41,20,12.66
pevek,RU,170.3133,69.7008,-14.62,-14.62,70,0,0.54
rio grande,BR,-52.0986,-32.035,72.0,72.0,91,100,1.99
alofi,NU,-169.9187,-19.0595,86.0,86.0,74,75,9.22
teontepec,MX,-97.5167,18.5,68.05,68.05,35,58,7.43
carnarvon,AU,113.6333,-24.8667,75.2,75.2,64,75,20.71
russell,US,-85.1999,32.3502,58.1,62.6,94,1,2.71
norman wells,CA,-126.8329,65.282,-22.0,-22.0,76,20,5.75
aldan,RU,125.3894,58.6031,7.63,7.63,94,100,1.63
longyearbyen,SJ,15.6401,78.2186,6.8,6.8,72,75,18.41
tigil,RU,158.6667,57.8,24.24,24.24,93,63,6.55
arman,RU,150.1667,59.7,17.42,17.42,90,100,9.28
bilibino,RU,166.4372,68.0546,-4.2,-4.2,86,97,2.19
saint george,US,-113.5841,37.1041,61.21,62.6,25,40,11.5
san pedro,PH,121.0167,14.35,82.22,84.0,78,40,4.61
karakol,KG,78.3936,42.4907,31.01,31.01,91,100,2.77
yenagoa,NG,6.2642,4.9247,78.13,78.13,92,1,3.58
cabedelo,BR,-34.8339,-6.9811,78.8,78.8,94,75,8.05
saldanha,ZA,17.9442,-33.0117,64.4,64.4,82,0,3.44
manta,EC,-80.7333,-0.95,78.8,78.8,78,0,8.05
arraial do cabo,BR,-42.0278,-22.9661,74.41,74.41,82,100,4.54
upernavik,GL,-56.1549,72.7868,-1.97,-1.97,91,100,13.44
nalut,LY,10.85,30.3333,49.55,49.55,45,0,3.22
mount gambier,AU,140.7667,-37.8333,80.6,80.6,39,100,10.36
sistranda,NO,8.834,63.7256,15.8,15.8,86,20,13.8
le port,RE,55.2919,-20.9373,70.12,77.0,83,75,10.36
quang ngai,VN,108.8,15.1167,69.69,69.69,78,33,8.46
contamana,PE,-75.0167,-7.3333,78.4,78.4,78,100,2.62
lompoc,US,-120.4579,34.6391,50.76,53.6,76,1,9.22
san patricio,US,-97.5169,28.017,60.8,60.8,88,90,17.27
lingao,CN,109.6859,19.9103,64.58,64.58,74,7,7.29
kodiak,US,-152.4072,57.79,37.4,37.4,75,90,29.93
thibodaux,US,-90.8229,29.7958,69.76,70.0,86,2,1.01
chimoio,MZ,33.4833,-19.1164,69.37,69.8,100,75,8.05
cardston,CA,-113.3019,49.2,-16.6,-14.8,76,100,2.3
mackay,AU,149.2,-21.15,81.03,82.4,69,90,9.22
nanortalik,GL,-45.2371,60.1432,23.47,23.47,88,16,11.92
langsa,ID,97.9683,4.4683,81.81,81.81,76,14,1.95
beringovskiy,RU,179.3167,63.05,-21.41,-21.41,86,75,14.5
srednekolymsk,RU,153.6833,67.45,-12.32,-12.32,88,42,4.25
hemsedal,NO,8.5534,60.8629,-4.54,-2.99,75,1,1.99
gat,IL,34.7642,31.61,50.7,55.0,81,0,5.14
nyurba,RU,118.3319,63.2842,-12.69,-12.69,89,100,2.84
comodoro rivadavia,AR,-67.5,-45.8667,66.2,66.2,88,0,5.82
smithers,CA,-127.1743,54.7804,-0.4,-0.4,50,1,3.44
noumea,NC,166.4572,-22.2763,80.6,80.6,61,90,5.75
port macquarie,AU,152.9167,-31.4333,76.41,77.0,53,40,8.05
madang,PG,145.7966,-5.2246,84.07,84.07,70,100,4.83
coihaique,CL,-72.0662,-45.5752,69.8,69.8,49,99,3.44
chipata,ZM,32.65,-13.6333,65.05,65.05,97,100,1.92
milkovo,RU,158.6167,54.7167,23.9,23.9,95,100,13.85
oranjemund,NA,16.4333,-28.55,64.35,64.35,85,61,8.59
arlit,NE,7.3853,18.7369,68.25,68.25,20,1,6.2
rawson,AR,-65.1023,-43.3002,70.48,70.48,54,0,31.85
forestville,US,-76.875,38.8451,32.58,34.0,100,90,3.44
ati,TD,18.3353,13.2154,67.12,67.12,25,0,10.6
salalah,OM,54.0924,17.0151,73.4,73.4,38,0,6.91
sabaudia,IT,13.0282,41.3003,46.67,46.99,91,2,3.09
kahului,US,-156.47,20.8947,71.46,75.2,53,40,20.71
qaqortoq,GL,-46.0333,60.7167,33.8,33.8,25,20,33.38
meiganga,CM,14.3,6.5167,60.31,60.31,29,93,3.36
punta de bombon,PE,-71.7931,-17.1717,71.31,71.31,81,87,5.1
mount isa,AU,139.5,-20.7333,93.2,93.2,43,40,10.36
darhan,MN,105.9228,49.4867,16.23,16.23,95,100,3.38
ulaanbaatar,MN,106.8832,47.9077,12.2,12.2,79,75,13.42
mar del plata,AR,-57.5575,-38.0023,67.48,68.0,83,90,16.11
nemuro,JP,145.575,43.3236,24.8,24.8,74,40,4.61
barra dos coqueiros,BR,-37.0386,-10.9089,80.6,80.6,69,40,9.22
adrar,MR,-10.0711,20.5022,63.03,63.03,23,0,9.44
nago,JP,127.9761,26.5881,64.26,64.4,77,90,27.63
almaznyy,RU,40.045,48.0448,44.6,44.6,100,90,8.95
yinchuan,CN,106.2731,38.4681,41.16,41.16,58,100,3.76
ligayan,PH,119.4706,4.6533,82.85,82.85,71,11,2.82
clarksburg,US,-80.3445,39.2807,29.79,30.99,93,90,8.05
ust-maya,RU,134.5333,60.4167,-2.38,-2.38,91,100,3.47
hasaki,JP,140.8333,35.7333,51.31,52.0,40,20,12.66
grindavik,IS,-22.4338,63.8424,35.6,35.6,80,75,14.97
savannah bight,HN,-85.85,16.45,77.0,77.0,86,0,21.99
san jose,US,-121.895,37.3394,57.4,59.0,58,1,9.22
meadow lake,US,-106.5436,34.8014,50.74,53.6,24,75,12.66
whitehorse,CA,-135.0538,60.7161,-16.2,-16.01,69,20,12.66
jiaocheng,CN,116.1389,24.6774,60.06,60.06,79,92,2.62
leiyang,CN,112.8591,26.4024,53.15,53.15,87,93,2.57
airai,TL,125.4092,-8.9266,72.99,72.99,80,97,2.06
kifri,IQ,44.9661,34.6959,53.58,53.58,58,0,2.24
hirara,JP,125.2833,24.8,68.0,68.0,100,75,24.16
alghero,IT,8.3181,40.5589,50.95,55.4,76,40,11.5
san cristobal,VE,-72.225,7.7669,64.8,64.8,89,2,2.37
port alfred,ZA,26.891,-33.5906,71.01,71.01,94,12,4.34
oranjestad,AW,-70.027,12.524,77.0,77.0,83,20,18.41
buenos aires,AR,-58.3772,-34.6132,70.47,71.6,78,75,11.5
deputatskiy,RU,139.9,69.3,-20.65,-20.65,90,70,3.18
saint-joseph,RE,55.6167,-21.3667,72.3,77.0,69,40,4.61
tautira,PF,-149.15,-17.7333,86.0,86.0,62,75,10.36
half moon bay,US,-122.4286,37.4636,52.47,55.99,87,75,5.75
pisco,PE,-76.2167,-13.7,72.37,73.4,73,0,10.36
bonnyville,CA,-110.735,54.2668,-21.03,-18.4,57,90,9.22
kruisfontein,ZA,24.7314,-34.0033,70.0,70.0,91,8,0.85
kano,NG,8.5167,12.0001,64.4,64.4,32,0,2.3
kikwit,CD,18.8162,-5.041,71.62,71.62,89,100,2.39
gizo,SB,156.8419,-8.103,84.96,84.96,71,96,8.95
missoula,US,-113.8009,47.0166,19.13,19.4,86,90,8.05
makakilo city,US,-158.0858,21.3469,76.17,77.0,47,75,4.61
luganville,VU,167.1667,-15.5333,84.47,84.47,67,27,1.12
tubuala,PA,-79.0333,9.5167,69.82,78.8,78,20,4.61
pemangkat,ID,108.9667,1.1667,81.05,81.05,78,82,7.02
broken hill,AU,141.4333,-31.95,95.0,95.0,23,0,14.97
meulaboh,ID,96.1285,4.1363,79.74,79.74,85,100,4.68
botou,CN,116.5667,38.0667,51.85,51.85,45,0,13.67
mineros,BO,-63.2333,-17.1167,69.8,69.8,88,90,5.75
thinadhoo,MV,72.9333,0.5333,81.57,81.57,79,51,11.56
northampton,US,-75.2499,40.8754,27.86,28.99,60,100,2.91
kesan,TR,26.6303,40.8558,55.11,55.11,81,96,19.51
pangnirtung,CA,-65.7125,66.1451,5.77,5.77,70,0,2.33
sjovegan,NO,17.8474,68.8726,24.42,24.8,93,75,5.46
hovd,MN,91.6419,48.0056,10.81,10.81,55,23,4.59
maua,BR,-46.4614,-23.6678,68.0,68.0,83,75,8.05
umtata,ZA,28.7844,-31.5889,68.0,68.0,94,45,3.44
tasiilaq,GL,-37.6368,65.6145,6.8,6.8,61,20,4.61
laguna de perlas,NI,-83.6712,12.3429,75.22,75.22,82,0,6.8
shingu,JP,135.9833,33.7333,51.8,51.8,43,75,16.11
yala,TH,101.25,6.3333,78.8,78.8,83,20,5.75
vao,NC,167.4833,-22.6667,76.55,76.55,82,33,13.96
careiro da varzea,BR,-59.8119,-3.2003,78.8,78.8,89,20,4.61
tayturka,RU,103.4608,52.8692,9.01,9.01,94,100,5.73
puerto narino,CO,-70.3831,-3.7703,78.8,78.8,100,0,2.17
fukue,JP,128.8419,32.6881,53.6,53.6,62,0,8.05
beloha,MG,45.05,-25.1667,71.02,71.02,83,100,7.56
cidreira,BR,-50.2056,-30.1811,73.62,73.62,83,21,14.34
vardo,NO,31.1107,70.3705,24.26,24.26,87,100,13.33
te anau,NZ,167.7167,-45.4167,52.45,52.45,78,100,6.04
mizan teferi,ET,35.5833,6.9833,65.71,65.71,43,100,2.51
kemijarvi,FI,27.4306,66.7131,4.98,4.98,94,99,3.85
morondava,MG,44.2833,-20.2833,78.75,78.75,83,100,14.07
guerrero negro,MX,-114.0611,27.9769,57.61,57.61,71,66,17.9
gibsons,CA,-123.5027,49.3997,29.88,30.99,86,64,1.19
mangrol,IN,70.1167,21.1167,68.22,68.22,40,100,7.23
linares,CL,-71.6,-35.85,68.99,68.99,65,0,3.0
cherskiy,RU,161.3,68.75,-9.44,-9.44,87,0,3.47
north auburn,US,-121.0819,38.9313,52.9,60.8,76,1,0.51
sandpoint,US,-116.5533,48.2766,13.64,23.0,63,90,8.05
vaitape,PF,-151.75,-16.5167,82.0,82.0,69,0,15.88
aykhal,RU,111.5,66.0,-18.76,-18.76,86,6,5.46
mandalgovi,MN,106.2708,45.7625,24.22,24.22,87,37,21.85
margate,GB,1.3862,51.3813,31.82,34.0,65,100,1.01
walvis bay,NA,14.5053,-22.9575,67.08,68.0,82,100,3.44
fairhope,US,-87.9033,30.523,63.77,64.4,100,90,3.44
fernie,CA,-115.0687,49.5,-5.04,8.6,49,99,14.97
ronneby,SE,15.276,56.21,15.8,15.8,92,93,6.91
cao bang,VN,106.25,22.6667,65.43,65.43,67,0,0.78
paraiso,CR,-83.8656,9.8383,66.65,66.99,83,95,5.99
zhuhai,CN,113.5678,22.2769,62.73,63.0,82,40,13.8
sao felix do xingu,BR,-51.995,-6.6447,72.99,72.99,96,100,1.68
skjervoy,NO,20.9714,70.0311,33.24,33.24,84,100,21.85
kissidougou,GN,-10.0999,9.1848,68.13,68.13,48,0,4.03
marsh harbour,BS,-77.0636,26.5412,74.01,74.01,80,100,11.21
olafsvik,IS,-23.7142,64.8945,36.9,36.9,81,100,19.73
buchanan,LR,-10.0467,5.8808,78.76,78.76,89,1,5.61
axim,GH,-2.2405,4.8699,80.19,80.19,85,9,6.4
chongwe,ZM,28.682,-15.3292,65.55,65.55,95,100,0.36
saint-pierre,RE,55.4781,-21.3393,74.48,77.0,69,40,4.61
baia de aries,RO,23.2833,46.3833,44.8,45.0,100,90,5.75
la ronge,CA,-105.2842,55.1001,-20.2,-20.2,69,98,4.61
verkhnevilyuysk,RU,120.3167,63.4453,-18.18,-18.18,88,92,3.24
khani,GE,42.9566,41.9563,44.6,44.6,87,0,6.91
zhaotong,CN,103.7167,27.3167,44.4,44.4,72,25,4.61
henties bay,NA,14.2845,-22.116,68.0,68.0,90,99,6.51
namibe,AO,12.1522,-15.1961,72.86,72.86,73,100,3.65
ust-tsilma,RU,52.1498,65.441,-13.99,-13.99,88,96,3.4
scarborough,GB,-0.4044,54.2797,33.49,35.01,59,79,5.01
grand gaube,MU,57.6608,-20.0064,79.0,79.0,74,19,5.99
chihuahua,MX,-106.0,28.5,68.0,68.0,14,20,9.22
kollam,IN,76.6,8.8833,75.2,75.2,57,20,9.17
ancud,CL,-73.8203,-41.8697,65.12,66.0,68,0,4.61
sisimiut,GL,-53.6735,66.9395,13.3,13.3,92,59,8.01
ivdel,RU,60.4206,60.6911,-22.5,-22.5,83,48,1.88
diffa,NE,12.6113,13.3154,65.8,65.8,27,0,10.07
port hedland,AU,118.5667,-20.3167,87.8,87.8,70,75,12.66
plesetsk,RU,40.2916,62.708,-11.7,-11.7,87,34,3.65
caravelas,BR,-39.2481,-17.7125,75.63,75.63,83,3,4.72
padang,ID,100.3543,-0.9492,80.6,80.6,74,20,1.14
dom pedrito,BR,-54.6731,-30.9828,67.55,67.55,89,100,9.1
ponta do sol,PT,-17.1,32.6667,55.58,60.01,77,86,1.01
nongstoin,IN,91.2667,25.5167,55.35,55.35,50,0,2.24
seoul,KR,126.9778,37.5683,39.22,41.0,70,40,4.61
hamza,UZ,71.4956,40.4264,41.0,41.0,81,75,2.3
whitianga,NZ,175.7,-36.8333,71.6,71.6,60,63,1.21
chuy,UY,-53.4616,-33.6971,70.02,70.02,86,97,9.86
hessisch oldendorf,DE,9.25,52.1667,16.9,19.4,86,93,4.61
ust-nera,RU,143.2,64.5667,8.74,8.74,84,67,4.54
san luis,AR,-66.3356,-33.295,66.58,66.58,64,10,12.57
ribeira brava,PT,-17.0667,32.65,55.44,60.01,87,88,3.0
mana,GF,-53.7767,5.6592,76.93,76.93,83,12,11.99
mayo,US,-76.5119,38.8876,32.79,34.0,100,90,3.44
chissamba,AO,17.3333,-12.1667,61.77,61.77,86,100,6.15
oyama,JP,139.8,36.3,52.66,57.0,37,20,3.44
san juan,AR,-68.5364,-31.5375,76.71,76.71,40,13,7.36
carutapera,BR,-46.02,-1.195,78.8,78.8,83,100,7.07
inhambane,MZ,35.3833,-23.865,78.49,78.49,83,0,13.13
kibala,TD,18.3463,9.1104,64.4,64.4,63,0,3.6
hambantota,LK,81.1185,6.1241,68.0,68.0,100,100,3.44
puerto madryn,AR,-65.0385,-42.7692,70.68,70.68,51,0,31.65
roald,NO,6.1333,62.5833,17.4,23.0,54,0,12.66
namatanai,PG,152.4333,-3.6667,83.03,83.03,76,81,6.15
jiayuguan,CN,98.3,39.8167,35.1,35.1,67,0,8.3
omboue,GA,9.2618,-1.5746,78.58,78.58,89,100,1.77
udachnyy,RU,112.4,66.4167,-24.16,-24.16,83,4,4.05
clyde river,CA,-68.5914,70.4692,5.0,5.0,92,0,25.34
voh,NC,164.7,-20.9667,79.07,79.07,74,55,6.85
aripuana,BR,-60.6333,-9.1667,73.42,73.42,97,100,2.33
praia da vitoria,PT,-27.0667,38.7333,54.79,55.4,76,20,27.49
sri aman,MY,111.4621,1.2376,80.31,80.6,89,40,2.3
valleyview,CA,-117.2859,55.0667,-22.0,-22.0,69,100,4.61
grand-lahou,CI,-5.0242,5.1367,79.0,79.0,89,0,10.96
gijon,ES,-5.6615,43.5357,50.0,53.01,88,100,3.51
yazd,IR,54.3675,31.8972,48.2,48.2,37,40,6.91
kabo,CF,18.629,7.6994,67.53,67.53,24,3,2.84
landerneau,FR,-4.2525,48.4525,28.92,30.2,64,0,14.97
manggar,ID,108.2667,-2.8833,82.63,82.63,76,100,9.62
taoudenni,ML,-3.9836,22.6783,63.99,63.99,24,0,11.14
caxias,PT,-9.2767,38.7031,56.88,57.99,100,75,9.22
asosa,ET,34.5333,10.0667,63.14,63.14,30,94,5.14
puerto cabezas,NI,-83.3888,14.0351,74.59,74.59,83,1,7.23
cockburn town,TC,-71.1419,21.4612,77.0,77.0,73,40,6.91
qarqin,AF,66.0436,37.4185,54.19,54.19,56,0,8.01
palestina,PS,35.2033,31.9216,50.36,55.0,93,20,3.44
port-gentil,GA,8.7815,-0.7193,81.68,81.68,82,100,5.91
kijang,KR,129.2139,35.2442,42.8,42.8,52,0,5.75
bara,NG,10.7288,10.3744,67.89,67.89,22,1,7.49
lokoja,NG,6.743,7.8024,78.55,78.55,54,22,1.79
maceio,BR,-35.7353,-9.6658,75.2,75.2,94,75,4.61
makasar,ID,119.4221,-5.14,86.0,86.0,74,20,3.44
amurzet,RU,131.0981,47.6967,17.73,17.73,94,0,4.68
takoradi,GH,-1.7554,4.8845,79.41,79.41,87,1,7.74
at-bashi,KG,75.8106,41.1702,19.72,19.72,84,71,1.1
alappuzha,IN,76.3264,9.49,71.98,71.98,69,100,6.82
rincon,US,-81.2354,32.296,57.76,57.99,94,90,3.44
poyarkovo,RU,128.6833,49.6,12.79,12.79,94,12,8.68
